fighter_name,current_elo
Gerard Gordeau,511.48
Teila Tuli,484.25
Kevin Rosier,479.92
Zane Frazier,468.5
Royce Gracie,672.93
Art Jimmerson,480.63
Ken Shamrock,527.46
Patrick Smith,542.91
Jason DeLucia,501.56
Trent Jenkins,462.08
Scott Morris,502.0
Sean Daugherty,480.63
Ray Wizard,479.55
Johnny Rhodes,512.89
David Levicki,484.25
Frank Hamaker,519.37
Thaddeus Luster,480.63
Orlando Wiet,499.42
Robert Lucarelli,484.25
Remco Pardoel,513.29
Alberta Cerra Leon,480.63
Scott Baker,480.84
Minoki Ichihara,481.67
Fred Ettish,480.62
Keith Hackney,497.8
Emmanuel Yarborough,484.25
Christophe Leninger,469.29
Harold Howard,483.57
Roland Payne,484.25
Kimo Leopoldo,477.61
Felix Lee Mitchell,452.05
Steve Jennum,515.07
Joe Charles,501.87
Marcus Bossett,476.55
Eldo Xavier Dias,484.25
Guy Mezger,547.67
Jason Fairn,484.25
Ron van Clief,484.19
Joe Son,480.62
Melton Bowen,480.67
Dan Severn,576.65
Anthony Macias,478.51
Dave Beneteau,492.02
Asbel Cancio,484.25
John Dowdy,484.25
Jon Hess,515.75
Andy Anderson,484.25
Todd Medina,502.7
Larry Cureton,462.34
Oleg Taktarov,581.48
Ernie Verdicia,480.63
Joel Sutton,531.5
Jack McGlaughlin,484.25
He-Man Gipson,483.37
David Abbott,455.76
John Matua,484.25
Paul Varelans,498.63
Cal Worsham,485.1
Rudyard Moncayo,482.01
Geza Kalman,500.71
Onassis Parungao,515.75
Francesco Maturi,484.25
Scott Bessac,498.93
David Hood,480.63
Gerry Harris,484.22
Mark Hall,510.03
Ryan Parker,481.52
Marco Ruas,539.68
Sam Adkins,494.98
Keith Mielke,484.25
Don Frye,626.38
Thomas Ramirez,484.25
Joe Moreira,500.75
Jerry Bohlander,557.52
Scott Ferrozzo,518.12
Gary Goodridge,496.84
Paul Herrera,484.25
Steve Nelmark,518.31
Tai Bowden,500.71
Rafael Carino,515.75
Matt Andersen,484.25
Mark Schultz,516.44
Koji Kitao,484.16
Amaury Bitetti,501.0
Dieusel Berto,483.54
Brian Johnston,465.76
Scott Fiedler,484.25
Mark Coleman,535.18
Moti Horenstein,469.21
John Campetella,484.19
Sam Fulton,461.32
Roberto Traven,495.5
Dave Berry,484.25
Julian Sanchez,481.41
Reza Nasri,484.25
Fabio Gurgel,484.37
Jack Nilson,500.04
Nick Sanzo,495.86
Jackie Lee,484.25
Justin Martin,519.37
Eric Martin,480.63
Rainy Martinez,480.77
Yoshiki Takahashi,515.75
Wallid Ismail,484.25
Jim Mullen,483.71
Vitor Belfort,556.74
Tra Telligman,460.39
Tito Ortiz,542.67
Wes Albritton,484.25
Saeed Hosseini,483.5
Enson Inoue,519.37
Royce Alger,465.76
Steven Graham,502.87
Dmitri Stepanov,480.63
Randy Couture,613.12
Tony Halme,480.63
Tony Fryklund,494.58
Donnie Chappell,480.63
Alex Hunter,533.87
Yuri Vaulin,483.54
Kevin Jackson,495.43
Todd Butler,484.25
Mark Kerr,570.93
Dan Bobish,497.99
Maurice Smith,522.49
Harry Moskowitz,469.32
Dwayne Cason,495.85
Houston Dorr,484.25
Greg Stott,484.51
Carlos Barreto,483.12
Brad Kohler,496.42
Yoji Anjo,451.65
Kazushi Sakuraba,506.04
Marcus Silveira,493.96
Frank Shamrock,590.76
Laverne Clark,538.3
Josh Stuart,484.25
Chris Brennan,482.45
Courtney Turner,480.63
Mikey Burnett,514.58
Eugenio Tadeu,484.25
Pat Miletich,588.34
Townsend Saunders,469.19
Tsuyoshi Kohsaka,496.66
Igor Zinoviev,484.51
Chuck Liddell,598.95
Noe Hernandez,484.25
Andre Roberts,514.25
Dan Henderson,515.24
Allan Goes,484.25
Carlos Newton,499.52
Bob Gilstrap,480.63
Mike van Arsdale,499.36
Joe Pardo,480.63
Hugo Duarte,484.03
Pete Williams,472.37
Jeremy Horn,490.25
Cesar Marscucci,515.75
Paulo Santos,484.25
Tulio Palhares,515.75
Adriano Santos,484.25
Ebenezer Fontes Braga,518.33
Pedro Rizzo,554.17
Wanderlei Silva,503.98
John Lober,481.37
Frank Caracci,484.25
Evan Tanner,555.47
Darrel Gholar,480.63
Jorge Patino,484.7
Bas Rutten,533.67
Sione Latu,515.75
Joey Roberts,484.25
Jason Godsey,460.91
Valeri Ignatov,469.38
Kevin Randleman,519.45
Ron Waterman,514.38
Chris Condo,484.25
Fabiano Iha,494.88
Marcelo Mello,515.75
David Roberts,484.25
Tony Petarra,483.61
Travis Fulton,497.62
David Dodd,468.39
Eugene Jackson,474.16
Tim Lajcik,470.44
Paul Jones,502.45
Flavio Luiz Moura,480.63
Daiju Takase,452.56
Andre Pederneiras,484.86
Jens Pulver,556.97
Alfonso Alcarez,500.0
John Lewis,499.28
Lowell Anderson,484.25
Matt Hughes,618.97
Steve Judson,468.34
Katsuhisa Fujii,495.74
Masutatsu Yano,484.25
Kenichi Yamamoto,515.08
Keiichiro Yamamiya,484.21
Joe Slick,500.07
Shonie Carter,499.27
Brad Gumm,484.93
Scott Adams,519.37
Ian Freeman,514.65
David Velasquez,484.25
Bob Cook,519.06
Tiki Ghosn,431.15
Dave Menne,466.83
Lance Gibson,499.45
Jermaine Andre,484.25
Tedd Williams,497.65
Koji Oishi,470.26
Ikuhisa Minowa,516.5
Satoshi Honma,484.18
Sanae Kikuta,521.08
Murilo Bustamante,540.99
Adrian Serrano,484.25
Nate Schroeder,483.37
Joao Roque,484.25
Marcelo Aguiar,484.21
Alex Andrade,483.55
John Alessio,426.16
Tyrone Roberts,515.0
CJ Fernandes,499.32
Jeff Monson,521.69
Yuki Kondo,480.83
Alexandre Dantas,468.66
Bobby Hoffman,456.26
Ben Earwood,515.75
Chris Lytle,551.55
Mark Hughes,515.75
Alex Stiebling,484.25
Andrei Arlovski,506.22
Aaron Brink,480.63
Josh Barnett,572.05
Gan McGee,502.49
Renato Sobral,546.46
Dennis Hallman,503.68
Matt Lindland,581.62
Sean Sherk,566.02
Phil Baroni,442.63
Curtis Stout,466.06
Mark Robinson,514.34
Elvis Sinosic,434.32
Phil Johns,479.33
Caol Uno,475.17
Tony DeSouza,501.78
Steve Berger,484.18
BJ Penn,484.98
Joey Gilbert,484.25
Ricardo Almeida,526.61
Semmy Schilt,496.61
Matt Serra,511.23
Paul Rodriguez,480.62
Ricco Rodriguez,547.59
Vladimir Matyushenko,524.58
Din Thomas,517.47
Jutaro Nakao,500.87
Gil Castillo,485.53
Yves Edwards,464.87
Frank Mir,542.02
Homer Moore,482.8
Keith Rockel,499.76
Andrei Semenov,499.45
Amar Suloev,469.41
Kelly Dullanty,479.75
Hayato Sakurai,484.75
Robbie Lawler,572.3
Aaron Riley,460.42
Benji Radach,485.2
Ivan Salaverry,486.34
Paul Creighton,485.59
Joao Pierini,482.8
Rodrigo Ruas,484.2
Pete Spratt,478.26
Zach Light,480.63
Nick Serra,483.54
Chris Haseman,485.97
Phillip Miller,535.69
James Zikic,484.25
Genki Sudo,521.69
Leigh Remedios,480.94
Mark Weir,479.79
Tim Sylvia,569.98
Wesley Correira,498.98
Travis Wiuff,466.11
Rich Clementi,503.75
