Gerard Gordeau,500.0,515.0,530.0,511.92
Teila Tuli,500.0,485.0
Kevin Rosier,500.0,515.0,500.0,481.55
Zane Frazier,500.0,485.0,470.0
Royce Gracie,500.0,518.45,536.9,554.98,570.53,587.15,602.76,614.91,627.47,639.44,652.39,664.91,659.46,643.12
Art Jimmerson,500.0,481.55
Ken Shamrock,500.0,518.45,500.0,515.0,532.65,538.1,558.42,558.42,573.15,559.23,574.79,560.5,572.69,556.64,544.04,532.48
Patrick Smith,500.0,481.55,500.98,516.73,536.02,523.87,541.05
Jason DeLucia,500.0,518.45,535.92,519.3,503.47
Trent Jenkins,500.0,481.55,463.89
Scott Morris,500.0,518.45,502.7
Sean Daugherty,500.0,481.55
Ray Wizard,500.0,480.57
Johnny Rhodes,500.0,515.0,532.65,513.36
David Levicki,500.0,485.0
Frank Hamaker,500.0,518.45
Thaddeus Luster,500.0,481.55
Orlando Wiet,500.0,515.0,500.15
Robert Lucarelli,500.0,485.0
Remco Pardoel,500.0,518.45,533.3,517.69,535.2,515.81
Alberta Cerra Leon,500.0,481.55
Scott Baker,500.0,482.53
Minoki Ichihara,500.0,484.45
Fred Ettish,500.0,482.35
Keith Hackney,500.0,515.0,532.65,519.7,502.95
Emmanuel Yarborough,500.0,485.0
Christophe Leninger,500.0,485.0,471.9
Harold Howard,500.0,515.0,499.35,484.38
Roland Payne,500.0,485.0
Kimo Leopoldo,500.0,487.44,472.71,489.61,475.06,494.56,482.37
Felix Lee Mitchell,500.0,482.35,468.11,455.12
Steve Jennum,500.0,515.65,533.27,513.7
Joe Charles,500.0,518.45,500.31,519.72,501.83
Marcus Bossett,500.0,515.0,496.73,479.25
Eldo Xavier Dias,500.0,485.0
Guy Mezger,500.0,515.0,529.35,542.45,559.45,542.59
Jason Fairn,500.0,485.0
Ron van Clief,500.0,488.03
Joe Son,500.0,482.35
Melton Bowen,500.0,482.38
Dan Severn,500.0,518.45,536.72,524.2,542.34,556.31,573.37,553.05,569.68,583.05,598.27,612.19,592.0,574.95
Anthony Macias,500.0,481.55,497.35,480.28
Dave Beneteau,500.0,515.0,530.15,513.09,494.18,479.1,495.0
Asbel Cancio,500.0,485.0
John Dowdy,500.0,485.65
Jon Hess,500.0,515.0
Andy Anderson,500.0,485.0
Todd Medina,500.0,518.45,503.3
Larry Cureton,500.0,481.55,464.08
Oleg Taktarov,500.0,518.45,504.48,523.39,540.46,558.35,558.35,573.43,588.22,573.0
Ernie Verdicia,500.0,481.55
Joel Sutton,500.0,515.0,529.35
Jack McGlaughlin,500.0,485.0
He-Man Gipson,500.0,484.2
David Abbott,500.0,515.0,530.0,512.11,531.68,518.31,536.54,520.01,534.15,549.08,533.19,518.08,499.69,514.7,529.07,512.82,494.76,475.26,461.35
John Matua,500.0,485.0
Paul Varelans,500.0,515.0,500.0,515.0,533.45,518.6,501.97,516.88,499.98
Cal Worsham,500.0,485.0,500.0,485.86
Rudyard Moncayo,500.0,482.82
Geza Kalman,500.0,485.65,501.27
Onassis Parungao,500.0,515.0
Francesco Maturi,500.0,485.0
Scott Bessac,500.0,518.45,499.04
David Hood,500.0,481.55
Gerry Harris,500.0,485.0
Mark Hall,500.0,514.97,496.52,514.18,528.57,514.84,527.83,512.23
Ryan Parker,500.0,482.49
Marco Ruas,500.0,517.47,536.86,551.71,568.46,553.67,536.67
Sam Adkins,500.0,515.0,500.0,514.24,496.01
Keith Mielke,500.0,485.0
Don Frye,500.0,515.0,530.0,545.01,558.08,571.81,584.38,567.2,581.93,597.53,613.42
Thomas Ramirez,500.0,485.0
Joe Moreira,500.0,485.09,500.73
Jerry Bohlander,500.0,518.45,503.3,518.16,535.65,553.0,569.36,551.32
Scott Ferrozzo,500.0,481.55,500.98,517.51,531.75,516.03
Gary Goodridge,500.0,515.0,530.15,515.14,499.49,514.51,496.09,481.36,497.78
Paul Herrera,500.0,485.0
Steve Nelmark,500.0,515.0,532.48,517.55
Tai Bowden,500.0,485.0,500.65
Rafael Carino,500.0,515.0
Matt Andersen,500.0,485.0
Mark Schultz,500.0,515.65
Koji Kitao,500.0,485.61
Amaury Bitetti,500.0,486.93,502.49
Dieusel Berto,500.0,484.38
Brian Johnston,500.0,515.0,502.43,517.33,504.43,488.87,471.01
Scott Fiedler,500.0,485.0
Mark Coleman,500.0,515.0,533.42,550.6,566.38,579.28,599.47,580.29,561.88,544.92,527.33,542.13,526.55
Moti Horenstein,500.0,485.0,470.65
John Campetella,500.0,484.98
Sam Fulton,500.0,480.57,463.15
Roberto Traven,500.0,515.0,495.75
Dave Berry,500.0,485.0
Julian Sanchez,500.0,484.22
Reza Nasri,500.0,485.1
Fabio Gurgel,500.0,485.14
Jack Nilson,500.0,484.35,500.03
Nick Sanzo,500.0,515.0,497.65
Jackie Lee,500.0,485.0
Justin Martin,500.0,518.45
Eric Martin,500.0,481.55
Rainy Martinez,500.0,482.51
Yoshiki Takahashi,500.0,515.0
Wallid Ismail,500.0,485.0
Jim Mullen,500.0,485.76
Vitor Belfort,500.0,515.0,530.72,545.83,530.3,548.19,561.12,546.36,559.37,576.25,561.68,547.73,565.44,554.82,566.98,584.78,570.3,586.68,598.01,610.58,596.71,608.69,592.15,575.68,561.51,575.43,560.54
Tra Telligman,500.0,485.0,504.25,490.5,476.98,463.46
Tito Ortiz,500.0,515.0,498.0,516.04,532.9,519.35,533.63,551.09,565.91,578.96,591.22,605.51,589.73,574.21,586.05,600.0,612.66,625.26,636.82,622.6,620.46,602.89,585.58,570.48,587.98,574.76,556.78,542.15
Wes Albritton,500.0,485.0
Saeed Hosseini,500.0,484.32
Enson Inoue,500.0,518.45
Royce Alger,500.0,481.55,467.35
Steven Graham,500.0,518.45,503.45
Dmitri Stepanov,500.0,481.55
Randy Couture,500.0,518.45,533.45,548.98,563.49,577.24,592.11,605.7,587.65,571.36,587.32,603.1,586.22,600.79,585.94,601.07,587.31,602.19,615.36,595.6,577.54,591.63,607.21,620.14,603.54
Tony Halme,500.0,481.55
Tony Fryklund,500.0,518.45,499.82,514.83,495.68
Donnie Chappell,500.0,481.55
Alex Hunter,500.0,517.42,531.67
Yuri Vaulin,500.0,484.36
Kevin Jackson,500.0,515.0,533.63,513.4,497.04
Todd Butler,500.0,485.0
Mark Kerr,500.0,514.35,532.99,546.57,563.35
Dan Bobish,500.0,517.86,499.22
