fighter_name,gender,latest_weight_class
Gerard Gordeau,Male,Open Weight
Teila Tuli,Male,Open Weight
Kevin Rosier,Male,Open Weight
Zane Frazier,Male,Open Weight
Royce Gracie,Male,Catch Weight
Art Jimmerson,Male,Open Weight
Ken Shamrock,Male,Light Heavyweight
Patrick Smith,Male,Open Weight
Jason DeLucia,Male,Middleweight
Trent Jenkins,Male,Open Weight
Scott Morris,Male,Open Weight
Sean Daugherty,Male,Open Weight
Ray Wizard,Male,Open Weight
Johnny Rhodes,Male,Open Weight
David Levicki,Male,Open Weight
Frank Hamaker,Male,Open Weight
Thaddeus Luster,Male,Open Weight
Orlando Wiet,Male,Open Weight
Robert Lucarelli,Male,Open Weight
Remco Pardoel,Male,Open Weight
Alberta Cerra Leon,Male,Open Weight
Scott Baker,Male,Open Weight
Minoki Ichihara,Male,Open Weight
Fred Ettish,Male,Open Weight
Keith Hackney,Male,Open Weight
Emmanuel Yarborough,Male,Open Weight
Christophe Leninger,Male,Lightweight
Harold Howard,Male,Open Weight
Roland Payne,Male,Open Weight
Kimo Leopoldo,Male,Heavyweight
Felix Lee Mitchell,Male,Open Weight
Steve Jennum,Male,Open Weight
Joe Charles,Male,Heavyweight
Marcus Bossett,Male,Open Weight
Eldo Xavier Dias,Male,Open Weight
Guy Mezger,Male,Middleweight
Jason Fairn,Male,Open Weight
Ron van Clief,Male,Open Weight
Joe Son,Male,Open Weight
Melton Bowen,Male,Open Weight
Dan Severn,Male,Heavyweight
Anthony Macias,Male,Open Weight
Dave Beneteau,Male,Heavyweight
Asbel Cancio,Male,Open Weight
John Dowdy,Male,Open Weight
Jon Hess,Male,Open Weight
Andy Anderson,Male,Open Weight
Todd Medina,Male,Open Weight
Larry Cureton,Male,Open Weight
Oleg Taktarov,Male,Open Weight
Ernie Verdicia,Male,Open Weight
Joel Sutton,Male,Open Weight
Jack McGlaughlin,Male,Open Weight
He-Man Gipson,Male,Open Weight
David Abbott,Male,Heavyweight
John Matua,Male,Open Weight
Paul Varelans,Male,Open Weight
